# degrees, kpc
# #RA   DEC  Rhel
9.90 -24.56 20.0
9.94 -24.56 20.0
9.97 -24.56 20.0
10.01 -24.56 20.0
10.05 -24.56 20.0
10.08 -24.56 20.0
10.12 -24.56 20.0
10.15 -24.56 20.0
10.19 -24.57 20.0
10.23 -24.57 20.0
10.26 -24.57 20.0
10.30 -24.57 20.0
10.33 -24.57 20.0
10.37 -24.57 20.0
10.41 -24.57 20.0
10.44 -24.57 20.0
10.48 -24.57 20.0
10.51 -24.57 20.0
10.55 -24.58 20.0
10.59 -24.58 20.0
10.62 -24.58 20.0
10.66 -24.58 20.0
10.69 -24.58 20.0
10.73 -24.58 20.0
10.77 -24.58 20.0
10.80 -24.58 20.0
10.84 -24.59 20.0
10.87 -24.59 20.0
10.91 -24.59 20.0
10.95 -24.59 20.0
10.98 -24.59 20.0
11.02 -24.59 20.0
11.05 -24.60 20.0
11.09 -24.60 20.0
11.13 -24.60 20.0
11.16 -24.60 20.0
11.20 -24.60 20.0
11.23 -24.61 20.0
11.27 -24.61 20.0
11.31 -24.61 20.0
11.34 -24.61 20.0
11.38 -24.61 20.0
11.41 -24.62 20.0
11.45 -24.62 20.0
11.49 -24.62 20.0
11.52 -24.62 20.0
11.56 -24.63 20.0
11.59 -24.63 20.0
11.63 -24.63 20.0
11.67 -24.63 20.0
11.70 -24.64 20.0
11.74 -24.64 20.0
11.77 -24.64 20.0
11.81 -24.64 20.0
11.85 -24.65 20.0
11.88 -24.65 20.0
11.92 -24.65 20.0
11.95 -24.66 20.0
11.99 -24.66 20.0
12.03 -24.66 20.0
12.06 -24.66 20.0
12.10 -24.67 20.0
12.13 -24.67 20.0
12.17 -24.67 20.0
12.21 -24.68 20.0
12.24 -24.68 20.0
12.28 -24.68 20.0
12.31 -24.69 20.0
12.35 -24.69 20.0
12.39 -24.69 20.0
12.42 -24.70 20.0
12.46 -24.70 20.0
12.49 -24.71 20.0
12.53 -24.71 20.0
12.57 -24.71 20.0
12.60 -24.72 20.0
12.64 -24.72 20.0
12.67 -24.72 20.0
12.71 -24.73 20.0
12.75 -24.73 20.0
12.78 -24.74 20.0
12.82 -24.74 20.0
12.85 -24.74 20.0
12.89 -24.75 20.0
12.93 -24.75 20.0
12.96 -24.76 20.0
13.00 -24.76 20.0
13.03 -24.77 20.0
13.07 -24.77 20.0
13.11 -24.78 20.0
13.14 -24.78 20.0
13.18 -24.78 20.0
13.21 -24.79 20.0
13.25 -24.79 20.0
13.29 -24.80 20.0
13.32 -24.80 20.0
13.36 -24.81 20.0
13.39 -24.81 20.0
13.43 -24.82 20.0
13.47 -24.82 20.0
13.50 -24.83 20.0
13.54 -24.83 20.0
13.57 -24.84 20.0
13.61 -24.84 20.0
13.65 -24.85 20.0
13.68 -24.86 20.0
13.72 -24.86 20.0
13.75 -24.87 20.0
13.79 -24.87 20.0
13.83 -24.88 20.0
13.86 -24.88 20.0
13.90 -24.89 20.0
13.93 -24.90 20.0
13.97 -24.90 20.0
14.01 -24.91 20.0
14.04 -24.91 20.0
14.08 -24.92 20.0
14.11 -24.92 20.0
14.15 -24.93 20.0
14.19 -24.94 20.0
14.22 -24.94 20.0
14.26 -24.95 20.0
14.29 -24.96 20.0
14.33 -24.96 20.0
14.37 -24.97 20.0
14.40 -24.98 20.0
14.44 -24.98 20.0
14.47 -24.99 20.0
14.51 -25.00 20.0
14.55 -25.00 20.0
14.58 -25.01 20.0
14.62 -25.02 20.0
14.65 -25.02 20.0
14.69 -25.03 20.0
14.73 -25.04 20.0
14.76 -25.04 20.0
14.80 -25.05 20.0
14.83 -25.06 20.0
14.87 -25.07 20.0
14.91 -25.07 20.0
14.94 -25.08 20.0
14.98 -25.09 20.0
15.01 -25.10 20.0
15.05 -25.10 20.0
15.09 -25.11 20.0
15.12 -25.12 20.0
15.16 -25.13 20.0
15.19 -25.14 20.0
15.23 -25.14 20.0
15.27 -25.15 20.0
15.30 -25.16 20.0
15.34 -25.17 20.0
15.37 -25.18 20.0
15.41 -25.18 20.0
15.45 -25.19 20.0
15.48 -25.20 20.0
15.52 -25.21 20.0
15.55 -25.22 20.0
15.59 -25.23 20.0
15.63 -25.23 20.0
15.66 -25.24 20.0
15.70 -25.25 20.0
15.73 -25.26 20.0
15.77 -25.27 20.0
15.81 -25.28 20.0
15.84 -25.29 20.0
15.88 -25.30 20.0
15.91 -25.31 20.0
15.95 -25.32 20.0
15.99 -25.32 20.0
16.02 -25.33 20.0
16.06 -25.34 20.0
16.09 -25.35 20.0
16.13 -25.36 20.0
16.17 -25.37 20.0
16.20 -25.38 20.0
16.24 -25.39 20.0
16.27 -25.40 20.0
16.31 -25.41 20.0
16.35 -25.42 20.0
16.38 -25.43 20.0
16.42 -25.44 20.0
16.45 -25.45 20.0
16.49 -25.46 20.0
16.53 -25.47 20.0
16.56 -25.48 20.0
16.60 -25.49 20.0
16.63 -25.50 20.0
16.67 -25.51 20.0
16.71 -25.53 20.0
16.74 -25.54 20.0
16.78 -25.55 20.0
16.81 -25.56 20.0
16.85 -25.57 20.0
16.89 -25.58 20.0
16.92 -25.59 20.0
16.96 -25.60 20.0
16.99 -25.61 20.0
17.03 -25.62 20.0
17.07 -25.64 20.0
17.10 -25.65 20.0
17.14 -25.66 20.0
17.17 -25.67 20.0
17.21 -25.68 20.0
17.25 -25.69 20.0
17.28 -25.71 20.0
17.32 -25.72 20.0
17.35 -25.73 20.0
17.39 -25.74 20.0
17.43 -25.75 20.0
17.46 -25.77 20.0
17.50 -25.78 20.0
17.53 -25.79 20.0
17.57 -25.80 20.0
17.61 -25.81 20.0
17.64 -25.83 20.0
17.68 -25.84 20.0
17.71 -25.85 20.0
17.75 -25.87 20.0
17.79 -25.88 20.0
17.82 -25.89 20.0
17.86 -25.90 20.0
17.89 -25.92 20.0
17.93 -25.93 20.0
17.97 -25.94 20.0
18.00 -25.96 20.0
18.04 -25.97 20.0
18.07 -25.98 20.0
18.11 -26.00 20.0
18.15 -26.01 20.0
18.18 -26.02 20.0
18.22 -26.04 20.0
18.25 -26.05 20.0
18.29 -26.07 20.0
18.33 -26.08 20.0
18.36 -26.09 20.0
18.40 -26.11 20.0
18.43 -26.12 20.0
18.47 -26.14 20.0
18.51 -26.15 20.0
18.54 -26.17 20.0
18.58 -26.18 20.0
18.61 -26.19 20.0
18.65 -26.21 20.0
18.69 -26.22 20.0
18.72 -26.24 20.0
18.76 -26.25 20.0
18.79 -26.27 20.0
18.83 -26.28 20.0
18.87 -26.30 20.0
18.90 -26.31 20.0
18.94 -26.33 20.0
18.97 -26.35 20.0
19.01 -26.36 20.0
19.05 -26.38 20.0
19.08 -26.39 20.0
19.12 -26.41 20.0
19.15 -26.42 20.0
19.19 -26.44 20.0
19.23 -26.46 20.0
19.26 -26.47 20.0
19.30 -26.49 20.0
19.33 -26.50 20.0
19.37 -26.52 20.0
19.41 -26.54 20.0
19.44 -26.55 20.0
19.48 -26.57 20.0
19.51 -26.59 20.0
19.55 -26.60 20.0
19.59 -26.62 20.0
19.62 -26.64 20.0
19.66 -26.65 20.0
19.69 -26.67 20.0
19.73 -26.69 20.0
19.77 -26.71 20.0
19.80 -26.72 20.0
19.84 -26.74 20.0
19.87 -26.76 20.0
19.91 -26.78 20.0
19.95 -26.79 20.0
19.98 -26.81 20.0
20.02 -26.83 20.0
20.05 -26.85 20.0
20.09 -26.86 20.0
20.13 -26.88 20.0
20.16 -26.90 20.0
20.20 -26.92 20.0
20.23 -26.94 20.0
20.27 -26.96 20.0
20.31 -26.97 20.0
20.34 -26.99 20.0
20.38 -27.01 20.0
20.41 -27.03 20.0
20.45 -27.05 20.0
20.49 -27.07 20.0
20.52 -27.09 20.0
20.56 -27.11 20.0
20.59 -27.13 20.0
20.63 -27.15 20.0
20.67 -27.17 20.0
20.70 -27.18 20.0
20.74 -27.20 20.0
20.77 -27.22 20.0
20.81 -27.24 20.0
20.85 -27.26 20.0
20.88 -27.28 20.0
20.92 -27.30 20.0
20.95 -27.32 20.0
20.99 -27.34 20.0
21.03 -27.36 20.0
21.06 -27.39 20.0
21.10 -27.41 20.0
21.13 -27.43 20.0
21.17 -27.45 20.0
21.21 -27.47 20.0
21.24 -27.49 20.0
21.28 -27.51 20.0
21.31 -27.53 20.0
21.35 -27.55 20.0
21.39 -27.57 20.0
21.42 -27.60 20.0
21.46 -27.62 20.0
21.49 -27.64 20.0
21.53 -27.66 20.0
21.57 -27.68 20.0
21.60 -27.70 20.0
21.64 -27.73 20.0
21.67 -27.75 20.0
21.71 -27.77 20.0
21.75 -27.79 20.0
21.78 -27.81 20.0
21.82 -27.84 20.0
21.85 -27.86 20.0
21.89 -27.88 20.0
21.93 -27.90 20.0
21.96 -27.93 20.0
22.00 -27.95 20.0
22.03 -27.97 20.0
22.07 -28.00 20.0
22.11 -28.02 20.0
22.14 -28.04 20.0
22.18 -28.07 20.0
22.21 -28.09 20.0
22.25 -28.11 20.0
22.29 -28.14 20.0
22.32 -28.16 20.0
22.36 -28.19 20.0
22.39 -28.21 20.0
22.43 -28.23 20.0
22.47 -28.26 20.0
22.50 -28.28 20.0
22.54 -28.31 20.0
22.57 -28.33 20.0
22.61 -28.36 20.0
22.65 -28.38 20.0
22.68 -28.41 20.0
22.72 -28.43 20.0
22.75 -28.46 20.0
22.79 -28.48 20.0
22.83 -28.51 20.0
22.86 -28.53 20.0
22.90 -28.56 20.0
22.93 -28.58 20.0
22.97 -28.61 20.0
